number_of_targets,small_fontsize,smallword_length,big_fontsize,bigword_length,distance_between,flash_time,rule
2,20,6,21,6,100,300,single_circle
2,20,6,21,6,200,300,single_circle
2,20,6,21,6,300,300,single_circle
2,20,6,21,6,400,300,single_circle
2,20,6,21,6,500,300,single_circle
2,20,6,21,6,600,300,single_circle
2,20,6,22,6,100,300,single_circle
2,20,6,22,6,200,300,single_circle
2,20,6,22,6,300,300,single_circle
2,20,6,22,6,400,300,single_circle
2,20,6,22,6,500,300,single_circle
2,20,6,22,6,600,300,single_circle
2,20,6,23,6,100,300,single_circle
2,20,6,23,6,200,300,single_circle
2,20,6,23,6,300,300,single_circle
2,20,6,23,6,400,300,single_circle
2,20,6,23,6,500,300,single_circle
2,20,6,23,6,600,300,single_circle
2,21,6,22,6,100,300,single_circle
2,21,6,22,6,200,300,single_circle
2,21,6,22,6,300,300,single_circle
2,21,6,22,6,400,300,single_circle
2,21,6,22,6,500,300,single_circle
2,21,6,22,6,600,300,single_circle
2,21,6,23,6,100,300,single_circle
2,21,6,23,6,200,300,single_circle
2,21,6,23,6,300,300,single_circle
2,21,6,23,6,400,300,single_circle
2,21,6,23,6,500,300,single_circle
2,21,6,23,6,600,300,single_circle
2,21,6,24,6,100,300,single_circle
2,21,6,24,6,200,300,single_circle
2,21,6,24,6,300,300,single_circle
2,21,6,24,6,400,300,single_circle
2,21,6,24,6,500,300,single_circle
2,21,6,24,6,600,300,single_circle
2,22,6,23,6,100,300,single_circle
2,22,6,23,6,200,300,single_circle
2,22,6,23,6,300,300,single_circle
2,22,6,23,6,400,300,single_circle
2,22,6,23,6,500,300,single_circle
2,22,6,23,6,600,300,single_circle
2,22,6,24,6,100,300,single_circle
2,22,6,24,6,200,300,single_circle
2,22,6,24,6,300,300,single_circle
2,22,6,24,6,400,300,single_circle
2,22,6,24,6,500,300,single_circle
2,22,6,24,6,600,300,single_circle
2,22,6,25,6,100,300,single_circle
2,22,6,25,6,200,300,single_circle
2,22,6,25,6,300,300,single_circle
2,22,6,25,6,400,300,single_circle
2,22,6,25,6,500,300,single_circle
2,22,6,25,6,600,300,single_circle
